bin,avg_wait_mean,avg_wait_ci_half,avg_travel_distance_km_mean,avg_travel_distance_km_ci_half,pct_seen_within_30_days_mean,pct_seen_within_30_days_ci_half,pct_seen_within_90_days_mean,pct_seen_within_90_days_ci_half
2.5,,,,,,,,
7.5,,,,,,,,
12.5,,,,,,,,
17.5,,,,,,,,
22.5,,,,,,,,
27.5,,,,,,,,
32.5,,,,,,,,
37.5,,,,,,,,
42.5,,,,,,,,
47.5,,,,,,,,
52.5,112.08,0.01,58.32,0.43,10.55,0.01,33.73,0.01
57.5,112.13,0.01,61.16,0.02,10.55,0.0,33.72,0.0
62.5,,,,,,,,
67.5,,,,,,,,
72.5,,,,,,,,
77.5,,,,,,,,
82.5,,,,,,,,
87.5,,,,,,,,
92.5,,,,,,,,
97.5,,,,,,,,
