scenario_id,target_high_to_private_share,replicate,nhs_share_pct,avg_wait,avg_travel_distance_km,pct_seen_within_30_days,pct_seen_within_90_days,avg_utilisation,num_unassigned
frontier_sweep,0.0,0,50.47,112.03,56.88,10.55,33.77,59.86,707.0
frontier_sweep,0.0,1,50.49,112.08,56.88,10.54,33.75,59.79,707.0
frontier_sweep,0.0,2,50.54,112.02,56.83,10.57,33.78,59.87,707.0
frontier_sweep,0.0,3,50.49,112.08,56.85,10.54,33.75,59.88,707.0
frontier_sweep,0.0,4,50.51,112.09,56.82,10.54,33.74,59.85,707.0
frontier_sweep,0.0,5,50.49,112.07,56.86,10.54,33.75,59.84,707.0
frontier_sweep,0.0,6,50.57,112.1,56.9,10.53,33.73,59.82,707.0
frontier_sweep,0.0,7,50.49,112.07,56.9,10.55,33.76,59.85,707.0
frontier_sweep,0.0,8,50.47,112.03,56.89,10.55,33.77,59.91,707.0
frontier_sweep,0.0,9,50.49,112.08,56.85,10.54,33.75,59.82,707.0
frontier_sweep,0.1,0,52.59,112.04,58.32,10.57,33.74,59.86,706.0
frontier_sweep,0.1,1,52.63,112.07,58.3,10.57,33.73,59.91,706.0
frontier_sweep,0.1,2,52.6,112.04,58.36,10.58,33.74,59.8,706.0
frontier_sweep,0.1,3,52.62,112.15,58.31,10.52,33.69,59.88,707.0
frontier_sweep,0.1,4,52.6,112.04,58.34,10.58,33.74,59.84,706.0
frontier_sweep,0.1,5,52.59,112.05,58.31,10.55,33.73,59.84,707.0
frontier_sweep,0.1,6,52.63,112.14,58.42,10.53,33.69,59.84,707.0
frontier_sweep,0.1,7,52.62,112.07,58.32,10.55,33.72,59.78,707.0
frontier_sweep,0.1,8,52.59,112.06,58.29,10.55,33.73,59.86,707.0
frontier_sweep,0.1,9,52.62,112.08,58.35,10.55,33.72,59.81,707.0
frontier_sweep,0.2,0,54.6,112.08,59.67,10.55,33.73,59.82,707.0
frontier_sweep,0.2,1,54.66,112.08,59.75,10.57,33.73,59.86,706.0
frontier_sweep,0.2,2,54.63,112.1,59.71,10.55,33.72,59.84,707.0
frontier_sweep,0.2,3,54.68,112.13,59.76,10.54,33.71,59.83,707.0
frontier_sweep,0.2,4,54.6,112.08,59.69,10.55,33.73,59.83,707.0
frontier_sweep,0.2,5,54.65,112.16,59.83,10.53,33.69,59.86,707.0
frontier_sweep,0.2,6,54.65,112.09,59.78,10.55,33.73,59.87,707.0
frontier_sweep,0.2,7,54.63,112.1,59.7,10.55,33.72,59.86,707.0
frontier_sweep,0.2,8,54.65,112.16,59.82,10.53,33.69,59.82,707.0
frontier_sweep,0.2,9,54.65,112.09,59.79,10.55,33.73,59.85,707.0
frontier_sweep,0.3,0,56.66,112.1,61.18,10.55,33.73,59.81,707.0
frontier_sweep,0.3,1,56.65,112.13,61.11,10.56,33.72,59.85,706.0
frontier_sweep,0.3,2,56.65,112.12,61.09,10.56,33.72,59.85,706.0
frontier_sweep,0.3,3,56.65,112.11,61.1,10.57,33.73,59.86,706.0
frontier_sweep,0.3,4,56.65,112.14,61.08,10.55,33.72,59.82,707.0
frontier_sweep,0.3,5,56.65,112.12,61.11,10.57,33.73,59.88,706.0
frontier_sweep,0.3,6,56.7,112.15,61.16,10.54,33.71,59.86,707.0
frontier_sweep,0.3,7,56.65,112.13,61.12,10.55,33.72,59.9,707.0
frontier_sweep,0.3,8,56.61,112.19,60.99,10.52,33.69,59.79,707.0
frontier_sweep,0.3,9,56.65,112.14,61.08,10.55,33.72,59.87,707.0
frontier_sweep,0.4,0,56.66,112.18,61.17,10.53,33.7,59.82,707.0
frontier_sweep,0.4,1,56.65,112.12,61.11,10.55,33.72,59.86,707.0
frontier_sweep,0.4,2,56.7,112.15,61.16,10.54,33.71,59.78,707.0
frontier_sweep,0.4,3,56.66,112.1,61.18,10.55,33.73,59.79,707.0
frontier_sweep,0.4,4,56.7,112.11,61.28,10.55,33.73,59.89,707.0
frontier_sweep,0.4,5,56.65,112.12,61.09,10.55,33.72,59.77,707.0
frontier_sweep,0.4,6,56.7,112.15,61.16,10.54,33.71,59.81,707.0
frontier_sweep,0.4,7,56.7,112.11,61.23,10.57,33.73,59.85,706.0
frontier_sweep,0.4,8,56.61,112.09,61.27,10.57,33.74,59.9,706.0
frontier_sweep,0.4,9,56.65,112.13,61.12,10.55,33.72,59.83,707.0
frontier_sweep,0.5,0,56.7,112.11,61.26,10.55,33.73,59.86,707.0
frontier_sweep,0.5,1,56.7,112.11,61.23,10.57,33.73,59.84,706.0
frontier_sweep,0.5,2,56.67,112.1,61.14,10.57,33.73,59.86,706.0
frontier_sweep,0.5,3,56.65,112.13,61.11,10.56,33.72,59.79,706.0
frontier_sweep,0.5,4,56.55,112.23,61.14,10.51,33.68,59.84,707.0
frontier_sweep,0.5,5,56.65,112.11,61.12,10.57,33.73,59.84,706.0
frontier_sweep,0.5,6,56.65,112.14,61.08,10.55,33.72,59.84,707.0
frontier_sweep,0.5,7,56.7,112.11,61.27,10.55,33.73,59.81,707.0
frontier_sweep,0.5,8,56.7,112.11,61.23,10.57,33.73,59.88,706.0
frontier_sweep,0.5,9,56.62,112.09,61.3,10.58,33.74,59.83,706.0
frontier_sweep,0.6,0,56.68,112.18,61.22,10.53,33.69,59.86,707.0
frontier_sweep,0.6,1,56.61,112.09,61.27,10.58,33.74,59.83,706.0
frontier_sweep,0.6,2,56.65,112.14,61.07,10.55,33.72,59.84,707.0
frontier_sweep,0.6,3,56.66,112.22,61.21,10.51,33.68,59.81,707.0
frontier_sweep,0.6,4,56.65,112.13,61.11,10.55,33.72,59.87,707.0
frontier_sweep,0.6,5,56.61,112.19,60.97,10.52,33.69,59.8,707.0
frontier_sweep,0.6,6,56.66,112.18,61.17,10.53,33.7,59.85,707.0
frontier_sweep,0.6,7,56.7,112.11,61.23,10.57,33.73,59.78,706.0
frontier_sweep,0.6,8,56.7,112.15,61.16,10.54,33.71,59.84,707.0
frontier_sweep,0.6,9,56.65,112.12,61.1,10.55,33.72,59.78,707.0
frontier_sweep,0.7,0,56.62,112.09,61.27,10.58,33.74,59.78,706.0
frontier_sweep,0.7,1,56.66,112.1,61.18,10.55,33.73,59.81,707.0
frontier_sweep,0.7,2,56.65,112.17,61.01,10.53,33.7,59.78,707.0
frontier_sweep,0.7,3,56.66,112.18,61.18,10.53,33.7,59.83,707.0
